ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,URBANISATION_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
I,A,JPN,WB_WDI_NY_GDP_FRST_RT_ZS,_T,_T,_T,PT_GDP,RATIO,2,WB_WDI,P1Y,0,WB_WDI,PU,A,Annual,Japan,Forest rents (% of GDP),Total,Not Applicable,Ratio,Two,Annual,Units,Normal value,Public,,,,,,,,,,,0.142460438,0.146872449,0.120944205,0.147945853,0.116740276,0.110905182,0.109869784,0.075976746,0.068083197,0.093842123,0.102244427,0.069734873,0.095295789,0.07060722,0.050599334,0.059565568,0.037539245,0.029341148,0.024490932,0.027587396,0.027072279,0.022140248,0.018488581,0.017926099,0.013721063,0.01249836,0.014040847,0.01236257,0.011195294,0.008411887,0.007644151,0.007214103,0.007606903,0.007774737,0.005748603,0.007865069,0.00906273,0.011493655,0.012202094,0.0102616,0.009723145,0.009399555,0.009451767,0.012949635,0.015779615,0.017410263,0.017122308,0.02896143,0.024870067,0.023851633,0.023554452,0.028703107,,,
I,A,ISR,WB_WDI_NY_GDP_PCAP_CD,_T,_T,_T,USD,CUR,2,WB_WDI,P1Y,0,WB_WDI,PU,A,Annual,Israel,GDP per capita (current US$),Total,Not Applicable,Currency,Two,Annual,Units,Normal value,Public,1452.48664,1697.29358,1293.569137,1486.317398,1625.99792,1689.069227,1789.007264,1734.931433,1947.352097,2189.034675,2490.488526,2297.994135,2929.656143,3631.047669,5085.166461,4672.002134,4516.374059,5053.17296,4797.096723,5971.933719,6548.544734,6795.250207,7257.575143,7959.98915,7368.503797,6828.664391,8335.462869,9853.408935,11852.98265,11607.67584,13308.31106,14346.08103,15509.99136,15178.83999,16806.83531,19025.68405,20224.27891,20469.4699,20188.81415,19823.21389,21706.51941,20966.30527,19076.45843,19643.46904,20568.06941,21286.83886,22527.26198,25721.25941,30269.21777,28508.49389,31439.0887,34522.5216,33321.43009,37034.31611,38343.30466,36213.10415,37671.53891,41138.47096,42362.66528,44250.63136,44575.5719,52270.90402,54949.62156,52003.72007,54176.68444
I,A,THA,WB_WDI_NY_GDP_MKTP_KD_ZG,_T,_T,_T,PC_A,RATIO,2,WB_WDI,P1Y,0,WB_WDI,PU,A,Annual,Thailand,GDP growth (annual %),Total,Not Applicable,Ratio,Two,Annual,Units,Normal value,Public,,5.362146302,7.554254448,7.999830787,6.830996144,8.181661538,11.12251849,8.615982333,8.122270256,6.550659886,11.40794907,4.89537376,4.278508039,10.23643301,4.466253386,4.970405228,9.326811082,9.843463235,10.29574653,5.371766513,5.173541006,5.906867763,5.352348751,5.584202469,5.752430251,4.647240357,5.533827767,9.518946022,13.28811407,12.19050599,11.16716344,8.558260321,8.083388023,8.251915915,7.997024667,8.120315346,5.651944465,-2.753575153,-7.634035286,4.572307751,4.455247043,3.44424901,6.149036052,7.189243303,6.289342143,4.187638429,4.967810892,5.435151691,1.725698849,-0.690618232,7.513390533,0.840132083,7.242796202,2.687495563,0.984468864,3.134047249,3.435157717,4.177681032,4.222870287,2.114557796,-6.050038469,1.552166084,2.580378747,2.017750953,2.541820677
I,A,RUS,WB_WDI_NY_GDP_DEFL_KD_ZG,_T,_T,_T,PC_A,RATIO,2,WB_WDI,P1Y,0,WB_WDI,PU,A,Annual,Russian Federation,"Inflation, GDP deflator (annual %)",Total,Not Applicable,Ratio,Two,Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.90291126,128.6297717,1490.418425,887.8407362,307.2980569,144.0068672,46.03637767,15.05850364,18.53896734,72.38660547,37.69792821,16.47961936,15.66190631,13.65713681,20.25514958,19.27943213,15.12040663,13.84123924,18.01351834,1.970612603,14.19110957,24.46008606,8.907868421,5.320138872,7.490071117,7.249735907,2.844222698,5.349815088,9.997976711,3.263132819,0.898246027,18.20910074,18.18468926,7.998570997,9.27567104
I,A,THA,WB_WDI_NE_CON_TOTL_ZS,_T,_T,_T,PT_GDP,RATIO,2,WB_WDI,P1Y,0,WB_WDI,PU,A,Annual,Thailand,Final consumption expenditure (% of GDP),Total,Not Applicable,Ratio,Two,Annual,Units,Normal value,Public,76.38822282,75.31134145,76.75774187,77.03134371,75.5199068,73.29178554,69.16709102,72.98004899,74.01589349,72.21013447,81.25373162,79.85593194,80.05702589,76.84466571,77.44269172,79.98088087,79.5595946,78.01437279,75.6997114,77.0846324,77.74067898,78.04554585,76.66133051,77.97454626,76.82016308,75.74898082,74.1441867,71.41154927,66.78518643,65.01702574,65.9631482,64.19717854,64.66815955,62.96070449,63.18316983,62.55152795,63.29320201,65.08450612,64.73960838,66.7576651,67.70970173,69.47729289,68.82986936,68.55681926,68.98854547,69.49350383,67.95342119,66.47434897,67.98134611,69.0458321,67.97634562,69.10272359,69.62137974,68.91573452,69.51257507,68.46585435,66.87463765,65.22926703,65.06247991,65.9431598,70.84248738,70.47485598,72.28398071,74.09791147,74.89827485
I,A,FRA,WB_WDI_BX_TRF_PWKR_DT_GD_ZS,_T,_T,_T,PT_GDP,RATIO,2,WB_WDI,P1Y,0,WB_WDI,PU,A,Annual,France,"Personal remittances, received (% of GDP)",Total,Not Applicable,Ratio,Two,Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,0.175740066,0.177275356,0.310211828,0.315336868,0.315896775,0.20738727,0.209837774,0.2314071,0.231123905,0.240393316,0.254642315,0.264191241,0.266917393,0.338173648,0.31707937,0.320817464,0.366930346,0.375127813,0.382835844,0.285311613,0.277974458,0.271119693,0.672080825,0.669451002,0.635297037,0.651713325,0.670927949,0.710206534,0.666545842,0.632413634,0.64799853,0.670240105,0.662184814,0.686267457,0.728326575,0.751947414,0.799268809,0.844812032,0.956657792,0.977759524,1.041870156,1.035973132,1.035401676,1.020556122,1.056405874,1.132347753,1.100530301,1.170521557,1.200838833,1.226896545
I,A,GRC,WB_WDI_BX_TRF_PWKR_DT_GD_ZS,_T,_T,_T,PT_GDP,RATIO,2,WB_WDI,P1Y,0,WB_WDI,PU,A,Annual,Greece,"Personal remittances, received (% of GDP)",Total,Not Applicable,Ratio,Two,Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,2.620480903,2.635040168,2.265517739,2.198267684,1.996814498,2.264693838,2.116663553,1.977784918,1.995685673,1.711350465,1.739351114,2.173321037,2.309821685,1.776657767,1.882324426,2.095854454,2.208393882,2.474469982,2.51000036,2.434531876,2.160656507,2.206591317,1.914616579,1.665629073,1.744447365,1.525621936,1.105062087,0.79472404,0.528847573,0.503336986,0.57349035,0.790269826,0.765212963,0.618712723,0.505631944,0.419082392,0.285119186,0.340179011,0.314189489,0.261778893,0.216038494,0.200053886,0.229583768,0.326246537,0.319488107,0.315553946,0.275508376,0.223070438,0.219111411
I,A,MUS,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,RATIO,2,WB_WDI,P1Y,0,WB_WDI,PU,A,Annual,Mauritius,"Government expenditure on education, total (% of GDP)",Total,Not Applicable,Ratio,Two,Annual,Units,Normal value,Public,,,,,,,,,,,,3.11274004,3.070919991,2.781330109,,2.519910097,,4.381899834,5.49202013,,,4.986839771,4.542620182,4.39455986,4.032519817,3.910439968,3.437289953,3.016740084,3.089849949,3.468960047,3.128220081,3.463259935,,,,,,,,3.887419939,3.719039917,3.073479891,3.020240068,4.357170105,4.255770206,4.024020195,3.648390055,3.185400009,3.063070059,3.047310114,3.551470041,3.332070112,3.418200016,3.567759991,4.815149784,4.758470058,4.882070065,4.87887001,4.674479961,4.541950226,4.35243988,4.67151022,4.84085989,4.567639828,4.089799881
I,A,KOR,WB_WDI_CM_MKT_LCAP_GD_ZS,_T,_T,_T,PT_GDP,RATIO,2,WB_WDI,P1Y,0,WB_WDI,PU,A,Annual,"Korea, Rep.",Market capitalization of listed domestic companies (% of GDP),Total,Not Applicable,Ratio,Two,Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,7.918643385,5.753383582,5.686390713,5.515075425,4.894823538,6.237997132,7.113064254,11.60671736,21.69802587,45.91661177,55.25949341,37.7660295,28.3014373,29.34174233,34.40523676,40.02199422,31.03512694,22.04093017,7.108143316,28.84321995,59.36188943,28.66376344,41.21477185,38.56941835,45.22304195,52.02854585,73.88915411,76.1890903,91.94818445,43.12990173,84.89740294,91.53956939,76.20972152,88.32329611,86.05106539,77.92819743,79.98895013,79.44405359,103.6002392,77.49570415,84.79734572,124.77648,114.2275987,91.39386956,106.6780845,83.04880836
I,A,LKA,WB_WDI_TG_VAL_TOTL_GD_ZS,_T,_T,_T,PT_GDP,RATIO,2,WB_WDI,P1Y,0,WB_WDI,PU,A,Annual,Sri Lanka,Merchandise trade (% of GDP),Total,Not Applicable,Ratio,Two,Annual,Units,Normal value,Public,56.60080465,51.09643636,50.8312769,54.56719046,61.76761196,42.33597229,43.22082284,38.34436207,38.915376,37.75032065,31.70081967,29.46007117,27.64360202,29.21104108,34.88515418,36.53102307,32.21656789,35.59499547,66.36948318,72.727566,77.00102214,66.51049938,60.0155384,55.78653958,55.16693768,53.12404003,47.96095256,51.64492205,53.56550531,53.42574764,57.22963852,56.00885469,60.80586339,66.25604276,68.13679535,68.94250583,68.43559537,69.42790743,68.15671139,66.59905982,70.56569468,68.5026581,65.33411974,62.47826793,66.4487974,62.20245012,60.64934733,58.85891644,55.03044563,41.34908796,37.71400054,45.0236466,40.55518607,36.64898838,37.21626226,34.64789716,33.5146923,34.2696012,36.128104,35.81737457,30.95016561,37.41783558,42.34788371,34.30879531,31.94521259
