,STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
22233,datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHN,WB_WDI_EN_GHG_CO2_PC_CE_AR5,_T,_T,_T,T,_Z,_Z,_Z,_Z,NUMBER,2,WB_WDI,P1Y,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),0,WB_WDI,PU,A,Annual,China,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Total,All age ranges or no breakdown by age,Total,Tonnes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,1.1138758302120824,1.0877838082046831,1.131550990104753,1.1510786448057693,1.1470319320264342,1.2921495643254275,1.3239135690378594,1.4680540142349132,1.6325025492462075,1.6500156345942487,1.5946606062767836,1.5601643047233835,1.6069767902997134,1.6667452678074093,1.7925346128806692,1.787250723093317,1.869843455600446,1.9679021433809796,2.0819867832212267,2.120494435256783,2.126768940745341,2.216060845687273,2.291722619466596,2.4525486236040868,2.5564949007203177,2.7935104224159755,2.743424500020533,2.79439822775034,2.835924102308092,2.752194917520465,2.889075947712936,3.0074756457129377,3.227954545454546,3.704678826451412,4.240697490500164,4.782994201208848,5.280525163613064,5.707632456549699,5.852258663576554,6.249090185238045,6.80718476794211,7.401850658161312,7.584416514669286,7.89327631231478,7.93164331637339,7.790570492658676,7.763224839493007,7.878026521703319,8.217736248538596,8.391475870985156,8.478583020338744,8.887156603132347,8.864825110202348,9.230275535014284,9.315089337993932
27406,datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHN,WB_WDI_NY_GDP_MKTP_KD_ZG,_T,_T,_T,PC_A,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,GDP growth (annual %),0,WB_WDI,PU,A,Annual,China,GDP growth (annual %),Total,All age ranges or no breakdown by age,Total,Percentage change per annum,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,-27.270000003888256,-5.579999990196711,10.29999999639888,18.17999999382029,16.95000000386986,10.6499999984174,-5.770000004051482,-4.099999986477684,16.939999996060862,19.299999996702184,7.059999998536725,3.810000000219844,7.760000000843249,2.310000002947362,8.719999997479917,-1.5700000016532556,7.570000001384031,11.325977987889218,7.591324680000071,7.834145015937992,5.112761090589515,9.059284170629994,10.727370684210529,15.232560995508877,13.43547436652895,8.935064935065043,11.628222565569883,11.222594982520915,4.206334355478276,3.9416305983694,9.361702127848474,14.299610894792607,13.92907801436887,13.072709163159942,11.032812156274645,9.97619992053447,9.287646528086498,7.920792079335513,7.7370030581299005,8.586432018084622,8.312638870915222,9.243393266383208,10.118192864011746,10.131407363100251,11.458238455067018,12.674675165523524,14.149985494712736,9.67024588602851,9.402699727780444,10.596271976168154,9.461335887073602,7.856174270555869,7.778724094467165,7.461900282294337,6.978780026574768,6.775555628370171,6.891266362121101,6.756718001668332,6.068502350537045,2.3401884307841385,8.57008513166322,3.134188871957704,5.414843300996751,4.9773565917572
65516,datastructure,WB.DATA360:DS_DATA360(1.3),I,A,USA,WB_WDI_SP_POP_TOTL,_T,_T,_T,PS,_Z,_Z,_Z,_Z,COUNT,2,WB_WDI,P1Y,"Population, total",0,WB_WDI,PU,A,Annual,United States,"Population, total",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,180671000.0,183691000.0,186538000.0,189242000.0,191889000.0,194303000.0,196560000.0,198712000.0,200706000.0,202677000.0,205052000.0,207661000.0,209896000.0,211909000.0,213854000.0,215973000.0,218035000.0,220239000.0,222585000.0,225055000.0,227225000.0,229466000.0,231664000.0,233792000.0,235825000.0,237924000.0,240133000.0,242289000.0,244499000.0,246819000.0,249623000.0,252981000.0,256514000.0,259919000.0,263126000.0,266278000.0,269394000.0,272657000.0,275854000.0,279040000.0,282162411.0,284968955.0,287625193.0,290107933.0,292805298.0,295516599.0,298379912.0,301231207.0,304093966.0,306771529.0,309378227.0,311839461.0,314339099.0,316726282.0,319257560.0,321815121.0,324353340.0,326608609.0,328529577.0,330226227.0,331577720.0,332099760.0,334017321.0,336806231.0,340110988.0
68689,datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IND,WB_WDI_NY_GDP_MKTP_KD_ZG,_T,_T,_T,PC_A,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,GDP growth (annual %),0,WB_WDI,PU,A,Annual,India,GDP growth (annual %),Total,All age ranges or no breakdown by age,Total,Percentage change per annum,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,3.7227425331105337,2.931127735483628,5.994353261885593,7.452950122502088,-2.6357701102072757,-0.0553287704537979,7.825963030822351,3.38792917634143,6.539700299283567,5.157229737189553,1.6429303752758244,-0.5533013053445472,3.295521134716523,1.1853362546696076,9.14991201570659,1.6631036381303377,7.254764587603674,5.712532088693308,-5.238182704462176,6.735821528819798,6.006203626014965,3.475733239699608,7.288892903057032,3.8207378561060352,5.254299223113819,4.776564168475161,3.965355634817186,9.627782916078443,5.947343331813244,5.533454561253009,1.0568314349606285,5.48239602040357,4.750776217769243,6.658924070284343,7.574491837885191,7.549522249200507,4.049820849981828,6.184415821721174,8.845755559395315,3.8409911565912864,4.823966265557715,3.8039753211217535,7.860381475907303,7.922936611999319,7.923430621483178,8.060732571666506,7.660815067010702,3.086698059219813,7.861888832860743,8.49758470221235,5.2413161993769535,5.45638755166587,6.38610640094825,7.410227605088536,7.996253785714714,8.256305501790862,6.795383418979114,6.453851344977693,3.871436940703561,-5.777724706868014,9.68959249192875,7.609364977688955,9.190754930283449,6.494765523838211
82516,datastructure,WB.DATA360:DS_DATA360(1.3),I,A,USA,WB_WDI_EN_GHG_CO2_PC_CE_AR5,_T,_T,_T,T,_Z,_Z,_Z,_Z,NUMBER,2,WB_WDI,P1Y,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),0,WB_WDI,PU,A,Annual,United States,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Total,All age ranges or no breakdown by age,Total,Tonnes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,22.4080038234204,21.475736898117603,22.44226616991272,23.107187519170964,22.10605179234431,20.90730369073912,22.087305707799207,22.61177039488919,22.327833411954984,22.24648197107373,21.03726394542854,20.521578360192795,19.272803715726223,19.029006552833287,19.737634686738048,19.67373362922614,19.33651892909346,19.81391602590295,20.536631642665206,20.577195029556076,19.96452129811756,19.523326652989752,19.55833950583594,19.75837472443338,19.83040634524904,19.796846904363107,20.143263398590918,20.903617365407825,20.825786466754156,20.6489080418578,21.011875320274324,20.62550778557615,19.910379338711127,19.968165779182605,20.08155979472749,19.924991421547865,19.40481770770145,19.49566068697524,18.7089026291301,17.189063200190265,17.847084306937994,17.0203888981196,16.185422100481368,16.49597522191101,16.42489531023165,15.950102294913606,15.50454821892693,15.18471272139676,15.579645664597194,15.043966208050458,13.471582167824788,14.316115434711543,14.417714882516526,13.71194198601391,13.619568503914374
83239,datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHN,WB_WDI_SP_POP_TOTL,_T,_T,_T,PS,_Z,_Z,_Z,_Z,COUNT,2,WB_WDI,P1Y,"Population, total",0,WB_WDI,PU,A,Annual,China,"Population, total",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,667070000.0,660330000.0,665770000.0,682335000.0,698355000.0,715185000.0,735400000.0,754550000.0,774510000.0,796025000.0,818315000.0,841105000.0,862030000.0,881940000.0,900350000.0,916395000.0,930685000.0,943455000.0,956165000.0,969005000.0,981235000.0,993885000.0,1008630000.0,1023310000.0,1036825000.0,1051040000.0,1066790000.0,1084035000.0,1101630000.0,1118650000.0,1135185000.0,1150780000.0,1164970000.0,1178440000.0,1191835000.0,1204855000.0,1217550000.0,1230075000.0,1241935000.0,1252735000.0,1262645000.0,1271850000.0,1280400000.0,1288400000.0,1296075000.0,1303720000.0,1311020000.0,1317885000.0,1324655000.0,1331260000.0,1337705000.0,1345035000.0,1354190000.0,1363240000.0,1371860000.0,1379860000.0,1387790000.0,1396215000.0,1402760000.0,1407745000.0,1411100000.0,1412360000.0,1412175000.0,1410710000.0,1408975000.0
86460,datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHN,WB_WDI_SP_DYN_LE00_IN,_T,_T,_T,YR,_Z,_Z,_Z,_Z,NUMBER,2,WB_WDI,P1Y,"Life expectancy at birth, total (years)",0,WB_WDI,PU,A,Annual,China,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,33.419,40.158,50.959,51.67,52.343,53.001,53.662,54.401,55.191,55.988,56.824,57.731,58.579,59.496,60.241,60.952,61.225,62.458,63.102,63.704,64.243,64.778,65.249,65.728,66.148,66.532,66.887,67.263,67.607,67.93,68.155,68.61,69.059,69.492,69.835,70.363,70.823,71.227,71.601,71.952,72.288,72.675,73.034,73.385,73.727,74.085,74.404,74.789,74.833,75.317,75.668,75.889,76.2,76.452,76.714,76.975,77.214,77.235,77.709,77.94,78.019,78.117,78.202,77.953,
148023,datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IND,WB_WDI_SP_DYN_LE00_IN,_T,_T,_T,YR,_Z,_Z,_Z,_Z,NUMBER,2,WB_WDI,P1Y,"Life expectancy at birth, total (years)",0,WB_WDI,PU,A,Annual,India,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,45.61,45.824,46.133,46.458,46.742,45.558,45.884,46.184,47.925,48.26,48.585,48.902,49.213,49.642,50.259,50.761,51.302,51.822,52.42,53.014,53.593,54.173,54.735,55.283,55.813,56.324,56.819,57.291,57.744,58.196,58.618,59.032,59.445,59.823,60.237,60.63,61.027,61.439,61.852,62.284,62.749,63.158,63.649,64.086,64.484,64.939,65.373,65.803,66.247,66.7,67.162,67.623,68.076,68.499,68.932,69.326,69.709,70.068,70.415,70.746,70.156,67.282,71.698,72.003,
171675,datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IND,WB_WDI_EN_GHG_CO2_PC_CE_AR5,_T,_T,_T,T,_Z,_Z,_Z,_Z,NUMBER,2,WB_WDI,P1Y,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),0,WB_WDI,PU,A,Annual,India,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Total,All age ranges or no breakdown by age,Total,Tonnes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,0.3898333568886395,0.3821735903837701,0.3880736726023582,0.3771372309768981,0.395039612923587,0.4108376945241006,0.4290572845127237,0.4270056632533605,0.4089602797929872,0.4294468181019688,0.4416524657726416,0.4746130166247155,0.4885353574387466,0.5080091921658811,0.5469198932710289,0.5583479353832826,0.5926372067915601,0.6198651462688541,0.6433760924232886,0.6738673317946117,0.6944514348744617,0.7312595511216077,0.7416259557057346,0.7588474645609686,0.7903506553073669,0.8293703364962706,0.8507774088465259,0.8784419397890391,0.8840938181566016,0.9261899277571716,0.9423097442788384,0.9397897200114584,0.957620477500199,0.969744882653011,1.0282264318289849,1.0546048938552668,1.1081098918917367,1.1886235004643635,1.258159982063346,1.322845333014665,1.391298632876233,1.4633739160857104,1.5760755351325526,1.5994585571681734,1.7051768600007615,1.7155026909752082,1.7202923565218955,1.7954533987753094,1.859893094190517,1.836882232127991,1.6804001606439165,1.8370295169940611,1.969296189628768,2.096228588925678,2.173651735357874
188522,datastructure,WB.DATA360:DS_DATA360(1.3),I,A,USA,WB_WDI_SP_DYN_LE00_IN,_T,_T,_T,YR,_Z,_Z,_Z,_Z,NUMBER,2,WB_WDI,P1Y,"Life expectancy at birth, total (years)",0,WB_WDI,PU,A,Annual,United States,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,69.77073170731707,70.27073170731708,70.11951219512196,69.91707317073171,70.16585365853659,70.21463414634147,70.21219512195123,70.56097560975611,69.95121951219512,70.50731707317075,70.80731707317074,71.10731707317075,71.15609756097562,71.35609756097561,71.9560975609756,72.60487804878048,72.85609756097561,73.25609756097562,73.35609756097561,73.8048780487805,73.60975609756099,74.009756097561,74.3609756097561,74.46341463414633,74.56341463414635,74.56341463414635,74.61463414634147,74.7658536585366,74.7658536585366,75.01707317073172,75.21463414634147,75.3658536585366,75.6170731707317,75.41951219512197,75.61951219512196,75.6219512195122,76.02682926829269,76.42926829268293,76.58048780487806,76.5829268292683,76.63658536585366,76.83658536585367,76.93658536585366,77.03658536585367,77.48780487804878,77.48780487804878,77.68780487804878,77.98780487804879,78.03902439024391,78.39024390243902,78.54146341463415,78.64146341463415,78.74146341463415,78.74146341463415,78.84146341463415,78.69024390243904,78.53902439024391,78.53902439024391,78.63902439024392,78.78780487804877,76.98048780487805,76.32926829268293,77.43414634146343,78.38536585365854,
